STT	Từ vựng	Kanji	Ý nghĩa

Bài 1:
1	これ	 	Cái này, đây (vật ở gần người nói)
2	それ	 	Cái đó, đó (vật ở gần người nghe)
3	あれ	 	Cái kia, kia (vật ở xa cả người nói và người nghe)
4	この~	 	~ này
5	その~	 	~ đó
6	あの~	 	~ kia
7	ほん	本	Sách
8	じしょ	辞書	Từ điển
9	ざっし	雑誌	Tạp chí
10	しんぶん	新聞	Báo
11	ノート	 	Vở
12	てちょう	手帳	Sổ tay
13	めいし	名詞	Danh thiếp
14	カード	 	Thẻ, cạc
15	テレホンカード	 	Thẻ điện thoại
16	えんぴつ	鉛筆	Bút chì
17	ボールペン	 	Bút bi
18	シャープペンシル	 	Bút chì kim, bút chì bấm
19	かぎ	 	Chìa khóa
20	とけい	時計	Đồng hồ
21	かさ	傘	ô, dù
22	かばん	 	Cặp sách, túi sách
23	[カセット] テーブ	 	Băng [cát-xét]
24	テープレコーダー	 	Máy ghi âm
25	テレビ	 	Tivi
26	ラジオ	 	Radio
27	カメラ	 	Máy ảnh
28	コンピュータ	 	Máy vi tính
29	じどうしゃ	自動車	Ô tô, xe hơi
30	つくえ	机	Cái bàn
31	いす	 	Ghế
32	チョコレート	 	Chocolate
33	コーヒー	 	Cà phê
34	えいご	英語	Tiếng Anh
35	にほんご	日本語	Tiếng Nhật
36	∼ご	∼語	Tiếng~
37	なん	何	Cái gì
38	そう	 	Đúng vậy
39	ちがいます。	違います。	Nhầm rồi
40	そうですか。	 	Thế à?
41	あのう	 	 À…(được sử dụng để thể hiện sự do dự)
42	ほんのきもちです	ほんの気持ちです	Đây là chút quà nhỏ của tôi
43	どうぞ	 	Xin mời
44	どうも	 	Cảm ơn
45	[どうも] ありがとう[ございます]	 	Cảm ơn nhiều
46	これから おせわになります	これから お世話になります	Từ này mong được anh/chị giúp đỡ
47	こちらこそ よろしく	 	Chính tôi mới mong được anh/chị giúp đỡ

Bài 2:
1	これ	 	Cái này, đây (vật ở gần người nói)
2	それ	 	Cái đó, đó (vật ở gần người nghe)
3	あれ	 	Cái kia, kia (vật ở xa cả người nói và người nghe)
4	この~	 	~ này
5	その~	 	~ đó
6	あの~	 	~ kia
7	ほん	本	Sách
8	じしょ	辞書	Từ điển
9	ざっし	雑誌	Tạp chí
10	しんぶん	新聞	Báo
11	ノート	 	Vở
12	てちょう	手帳	Sổ tay
13	めいし	名詞	Danh thiếp
14	カード	 	Thẻ, cạc
15	テレホンカード	 	Thẻ điện thoại
16	えんぴつ	鉛筆	Bút chì
17	ボールペン	 	Bút bi
18	シャープペンシル	 	Bút chì kim, bút chì bấm
19	かぎ	 	Chìa khóa
20	とけい	時計	Đồng hồ
21	かさ	傘	ô, dù
22	かばん	 	Cặp sách, túi sách
23	[カセット] テーブ	 	Băng [cát-xét]
24	テープレコーダー	 	Máy ghi âm
25	テレビ	 	Tivi
26	ラジオ	 	Radio
27	カメラ	 	Máy ảnh
28	コンピュータ	 	Máy vi tính
29	じどうしゃ	自動車	Ô tô, xe hơi
30	つくえ	机	Cái bàn
31	いす	 	Ghế
32	チョコレート	 	Chocolate
33	コーヒー	 	Cà phê
34	えいご	英語	Tiếng Anh
35	にほんご	日本語	Tiếng Nhật
36	∼ご	∼語	Tiếng~
37	なん	何	Cái gì
38	そう	 	Đúng vậy
39	ちがいます。	違います。	Nhầm rồi
40	そうですか。	 	Thế à?
41	あのう	 	 À…(được sử dụng để thể hiện sự do dự)
42	ほんのきもちです	ほんの気持ちです	Đây là chút quà nhỏ của tôi
43	どうぞ	 	Xin mời
44	どうも	 	Cảm ơn
45	[どうも] ありがとう[ございます]	 	Cảm ơn nhiều
46	これから おせわになります	これから お世話になります	Từ này mong được anh/chị giúp đỡ
47	こちらこそ よろしく	 	Chính tôi mới mong được anh/chị giúp đỡ

Bài 3:
1	ここ	 	chỗ này, đây
2	そこ	 	chỗ đó, đó
3	あそこ	 	chỗ kia, kia
4	どこ	 	chỗ nào, đâu
5	こちら	 	phía này, đằng này, chỗ này, đây (là cách nói lịch sự của ここ)
6	そちら	 	phía đó, đằng đó, chỗ đó, đó (là cách nói lịch sự của そこ)
7	あちら	 	phía kia, đằng kia, chỗ kia, kia (cách nói lịch sự của あそこ)
8	どちら	 	phía nào, đằng nào, chỗ nào, đâu (cách nói lịch sự của どこ )
9	きょうしつ	教室	lớp học, phòng học
10	しょくどう	食堂	nhà ăn
11	じむしょ	事務所	văn phòng
12	かいぎしつ	会議室	phòng họp
13	うけつけ	受付	bộ phận tiếp tân, phòng thường trực, lễ tân
14	ロビー	 	hành lang, đại sảnh
15	へや	部屋	căn phòng
16	トイレ（おてあらい）	(お手洗い）	nhà vệ sinh, phòng vệ sinh, toa-lét
17	かいだん	階段	cầu thang
18	エレベーター	 	thang máy
19	エスカレーター	 	thang cuốn
20	[お]くに	[お]国	đất nước
21	かいしゃ	会社	công ty
22	うち	 	nhà
23	でんわ	電話	máy điện thoại, điện thoại
24	くつ	靴	giày
25	ネクタイ	 	cà vạt
26	ワイン	 	rượu vang
27	たばこ	 	thuốc lá
28	うりば	売り場	quầy bán (trong một cửa hàng bách hóa)
29	ちか	地下	tầng hầm, dưới mặt đất
30	―かい（－がい）	－階	tầng thứ –
31	なんがい	何階	tầng mấy
32	―えん	―円	yên
33	いくら	 	bao nhiêu tiền
34	ひゃく	百	trăm
35	せん	千	nghìn
36	まん	万	mười nghìn, vạn
37	すみません	 	Xin lỗi
38	～でございます	 	(cách nói lịch sự của 「です」)
39	みせてください	[～を]見せてください	cho tôi xem [~]
40	じゃ	 	Thế thì, vậy thì
41	[～を]ください	 	cho tôi [~]
42	しんおおさか	新大阪	tên một nhà ga ở Osaka
43	イタリア	 	Ý
44	スイス	 	Thụy Sĩ
45	ＭＴ/ヨーネン/アキックス	 	tên các công ty giả tưởng

Bài 4:
1	おきます	 	thức dậy
2	ねます	寝ます	ngủ
3	はたらきます	働きます	làm việc
4	やすみます	休みます	nghỉ ngơi
5	べんきょうします	勉強します	học tập
6	おわります	終わります	kết thúc
7	デパート	 	cửa hàng bách hóa
8	ぎんこう	銀行	ngân hàng
9	ゆうびんきょく	郵便局	bưu điện
10	としょかん	図書館	thư viện
11	びじゅつかん	美術館	viện bảo tàng
12	でんわばんごう	電話番号	số điện thoại
13	なんばん	何番	số mấy
14	いま	今	bây giờ
15	～じ	～時	~giờ
16	～ふん / ～ぷん	～分	～phút
17	はん	半	phân nửa
18	なんじ	何時	mấy giờ
19	なんぷん	何分	mấy phút
20	ごぜん	午前	sáng (AM: trước 12 giờ)
21	ごご	午後	chiều (PM: sau 12 giờ)
22	あさ	朝	sáng
23	ひる	昼	trưa
24	ばん	晩	tối
25	よる	夜	tối
26	おととい	 	ngày hôm kia
27	きのう	 	ngày hôm qua
28	きょう	今日	hôm nay
29	あした	明日	ngày mai
30	あさって	 	ngày mốt
31	けさ	今朝	sáng nay
32	こんばん	 	tối nay
33	ゆうべ	 	tối hôm qua
34	やすみ	休み	nghỉ ngơi (danh từ)
35	ひるやすみ	昼休み	nghỉ trưa
36	まいあさ	毎朝	mỗi sáng
37	まいばん	毎晩	mỗi tối
38	まいにち	毎日	mỗi ngày
39	ペキン	 	Bắc Kinh
40	バンコク	 	Bangkok
41	ロンドン	 	Luân Đôn
42	ロサンゼルス	 	Los Angeles
43	たいへんですね	大変ですね	vất vả nhỉ
44	ばんごうあんない	 	dịch vụ 116 (hỏi số điện thoại)
45	おといあわせ	 	(số điện thoại) bạn muốn biết / hỏi là

Bài 5:
1	ばんせん	―番線	sân ga số –
2	いきます	行きます	đi
3	きます	来ます	đến
4	かえります	帰ります	về
5	がっこう	学校	trường học
6	スーパー	 	siêu thị
7	えき	駅	ga, nhà ga
8	ひこうき	飛行機	máy bay
9	ふね	船	thuyền, tàu thủy
10	でんしゃ	電車	tàu điện
11	ちかてつ	地下鉄	tàu điện ngầm
12	しんかんせん	新幹線	tàu Shinkansen (tàu điện siêu tốc của Nhật)
13	バス	 	xe Buýt
14	タクシー	 	tắc-xi
15	じてんしゃ	自転車	xe đạp
16	あるいて	歩いて	đi bộ
17	ひと	人	người
18	ともだち	友達	bạn, bạn bè
19	かれ	彼	anh ấy, bạn trai
20	かのじょ	彼女	chị ấy, bạn gái
21	かぞく	家族	gia đình
22	せんしゅう	先週	tuần trước
23	こんしゅう	今週	tuần này
24	らいしゅう	来週	tuần sau
25	せんげつ	先月	tháng trước
26	こんげつ	今月	tháng này
27	らいげつ	来月	tháng sau
28	きょねん	去年	năm ngoái
29	ことし	 	năm nay
30	らいねん	来年	 năm sau
31	―がつ	―月	tháng –
32	なんがつ	何月	tháng mấy
33	ついたち	１日	ngày mồng 1
34	ふつか	２日	ngày mồng 2, 2 ngày
